,종목코드,현재가,거래량,거래대금,일자,시가,고가,저가,수정주가구분,수정비율,대업종구분,소업종구분,종목정보,수정주가이벤트,전일종가
0,005930,80100,13382882,1073188,20210701,80500,80600,80000,,,,,,,
1,005930,80700,13288643,1075902,20210630,81100,81400,80700,,,,,,,
2,005930,81000,15744317,1277814,20210629,81900,82100,80800,4,0.00,,,,,
3,005930,81900,11578529,946992,20210628,81700,82000,81600,,,,,,,
4,005930,81600,13481405,1099149,20210625,81500,81900,81200,,,,,,,
5,005930,81200,18771080,1515730,20210624,80400,81400,80100,,,,,,,
6,005930,80100,13856548,1110045,20210623,80500,80600,79900,,,,,,,
7,005930,80000,11773365,942657,20210622,80200,80300,79900,,,,,,,
8,005930,79900,16063340,1282081,20210621,79700,80000,79600,,,,,,,
9,005930,80500,14916721,1202369,20210618,81100,81100,80500,,,,,,,
10,005930,80900,14007385,1132293,20210617,81100,81300,80700,,,,,,,
11,005930,81800,14999855,1223108,20210616,81500,81900,81100,,,,,,,
12,005930,80900,10075685,814156,20210615,80900,81200,80600,,,,,,,
13,005930,80500,10550078,850453,20210614,80800,80900,80500,,,,,,,
14,005930,81000,14087962,1142078,20210611,81200,81700,80700,,,,,,,
15,005930,81000,17586995,1426082,20210610,81300,81400,80900,,,,,,,
16,005930,81100,14908823,1214346,20210609,81500,82000,81100,,,,,,,
17,005930,81900,12781226,1049385,20210608,82300,82600,81800,,,,,,,
18,005930,81900,16496197,1353521,20210607,82700,82800,81600,,,,,,,
19,005930,82200,18112259,1487791,20210604,82700,82700,81500,,,,,,,
20,005930,82800,29546007,2438123,20210603,81300,83000,81100,,,,,,,
21,005930,80800,16414644,1327714,20210602,80400,81400,80300,,,,,,,
22,005930,80600,14058401,1135462,20210601,80500,81300,80100,,,,,,,
23,005930,80500,13321324,1065281,20210531,80300,80600,79600,,,,,,,
24,005930,80100,12360199,988666,20210528,79800,80400,79400,,,,,,,
25,005930,79600,23198510,1845463,20210527,80000,80000,79100,,,,,,,
26,005930,79800,11984359,959016,20210526,80400,80500,79700,,,,,,,
27,005930,79900,13628942,1091585,20210525,80000,80400,79800,,,,,,,
28,005930,79700,13398666,1069031,20210524,80100,80400,79500,,,,,,,
29,005930,80100,20961714,1687345,20210521,80100,81500,79800,,,,,,,
30,005930,79500,16541828,1314427,20210520,79400,79700,79100,,,,,,,
31,005930,79600,17494407,1393769,20210518,79600,80000,79100,,,,,,,
32,005930,79600,17740855,1414229,20210517,80800,80900,79200,,,,,,,
33,005930,80100,16450920,1313024,20210514,79000,80300,78900,,,,,,,
34,005930,78500,31490096,2482903,20210513,78900,79600,78400,,,,,,,
35,005930,80000,35812268,2876602,20210512,80800,81200,79800,,,,,,,
36,005930,81200,28996680,2365998,20210511,82500,82600,81100,,,,,,,
37,005930,83200,19385027,1603729,20210510,82300,83500,81800,,,,,,,
38,005930,81900,14154882,1158685,20210507,81800,82100,81500,,,,,,,
39,005930,82300,17047511,1397109,20210506,81700,82300,81700,,,,,,,
40,005930,82600,12532550,1030147,20210504,81900,82600,81800,,,,,,,
41,005930,81700,15710336,1284767,20210503,81000,82400,81000,,,,,,,
42,005930,81500,18673197,1525090,20210430,81900,82100,81500,,,,,,,
43,005930,81700,20000973,1638811,20210429,82400,82500,81500,,,,,,,
44,005930,82100,15596759,1284554,20210428,83200,83200,82100,,,,,,,
45,005930,82900,12941533,1071382,20210427,83200,83300,82500,,,,,,,
46,005930,83500,15489938,1286360,20210426,82900,83500,82600,,,,,,,
47,005930,82800,17805080,1464208,20210423,81900,82900,81600,,,,,,,
48,005930,82400,13934746,1151304,20210422,82900,83000,82400,,,,,,,
49,005930,82600,21636079,1792609,20210421,83300,83500,82500,,,,,,,
50,005930,83900,15521965,1298186,20210420,83300,84000,83100,,,,,,,
51,005930,83300,15287311,1277282,20210419,83800,84000,83300,,,,,,,
52,005930,83900,15429522,1294517,20210416,84700,84700,83600,,,,,,,
53,005930,84100,16377412,1375438,20210415,83700,84500,83400,,,,,,,
54,005930,84000,13794652,1156327,20210414,84000,84300,83400,,,,,,,
55,005930,84000,15238206,1276903,20210413,83000,84500,82800,,,,,,,
56,005930,83200,12915282,1078274,20210412,84100,84100,83100,,,,,,,
57,005930,83600,18193707,1527079,20210409,84700,84900,83400,,,,,,,
58,005930,84700,19244259,1629938,20210408,85700,85700,84100,,,,,,,
59,005930,85600,17885538,1532761,20210407,86100,86200,85400,,,,,,,
60,005930,86000,19042023,1633461,20210406,86200,86200,85100,,,,,,,
61,005930,85400,16255990,1385160,20210405,85800,86000,84800,,,,,,,
62,005930,84800,22997538,1947587,20210402,84000,85200,83900,,,,,,,
63,005930,82900,18676461,1542485,20210401,82500,83000,82000,,,,,,,
64,005930,81400,17240518,1413779,20210331,82400,82700,81400,,,,,,,
65,005930,82200,13121698,1074969,20210330,81600,82300,81300,4,0.00,,,,,
66,005930,81600,14952134,1216568,20210329,81700,81700,81000,,,,,,,
67,005930,81500,12845778,1044262,20210326,81400,81600,81000,,,,,,,
68,005930,81200,14758826,1200699,20210325,81000,82100,80800,,,,,,,
69,005930,81000,17926638,1454204,20210324,81000,81600,80700,,,,,,,
70,005930,81800,13299907,1092867,20210323,82600,82900,81800,,,,,,,
71,005930,82000,12670506,1039543,20210322,82000,82300,81700,,,,,,,
72,005930,81900,15869700,1301953,20210319,82100,82500,81800,,,,,,,
73,005930,82900,18585244,1545981,20210318,82800,83800,82600,,,,,,,
74,005930,82300,11625146,957444,20210317,82800,82900,82000,,,,,,,
75,005930,82800,12293537,1014281,20210316,82200,83000,82100,,,,,,,
76,005930,81800,13735798,1128533,20210315,82800,82900,81800,,,,,,,
77,005930,82800,13530573,1121129,20210312,83100,83500,82400,,,,,,,
78,005930,82000,23818297,1952165,20210311,81000,82500,81000,,,,,,,
79,005930,80900,20038422,1632813,20210310,82400,82500,80700,,,,,,,
80,005930,81400,25420764,2066544,20210309,81400,81900,80600,,,,,,,
81,005930,82000,17641256,1448481,20210308,82900,83000,81600,,,,,,,
82,005930,82100,20508971,1677603,20210305,81100,82600,81100,,,,,,,
83,005930,82400,24348331,2010258,20210304,82600,83200,82200,,,,,,,
84,005930,84000,19882132,1659122,20210303,83500,84000,82800,,,,,,,
85,005930,83600,33498180,2823605,20210302,85100,85300,83000,,,,,,,
86,005930,82500,38520800,3175845,20210226,82800,83400,82000,,,,,,,
87,005930,85300,34155986,2880259,20210225,84000,85400,83000,,,,,,,
88,005930,82000,26807651,2208585,20210224,81800,83600,81300,,,,,,,
89,005930,82000,20587314,1683933,20210223,81200,82900,81100,,,,,,,
90,005930,82200,25419886,2113625,20210222,83800,84200,82200,,,,,,,
91,005930,82600,25880879,2121275,20210219,82300,82800,81000,,,,,,,
92,005930,82100,21327683,1762034,20210218,83200,83600,82100,,,,,,,
93,005930,83200,18307735,1526409,20210217,83900,84200,83000,,,,,,,
94,005930,84900,20483100,1740792,20210216,84500,86000,84200,,,,,,,
95,005930,84200,23529706,1978337,20210215,83800,84500,83300,,,,,,,
96,005930,81600,23025766,1888591,20210210,82600,82600,81600,,,,,,,
97,005930,82700,20898332,1748441,20210209,84000,84800,82700,,,,,,,
98,005930,83000,15338765,1281925,20210208,83800,84200,83000,,,,,,,
99,005930,83500,18036835,1499218,20210205,83100,84000,82500,,,,,,,
100,005930,82500,24171688,2000202,20210204,83500,83800,82100,,,,,,,
101,005930,84600,22112205,1864450,20210203,84800,85400,83400,,,,,,,
102,005930,84400,26302077,2234863,20210202,84100,86400,83700,,,,,,,
103,005930,83000,28046832,2311657,20210201,81700,83400,81000,,,,,,,
104,005930,82000,39615978,3292344,20210129,84500,85000,82000,,,,,,,
105,005930,83700,31859808,2676569,20210128,83200,85600,83200,,,,,,,
106,005930,85600,26423070,2282488,20210127,86600,87700,85600,,,,,,,
107,005930,86700,33178936,2899318,20210126,88800,89200,86500,,,,,,,
108,005930,89400,27258534,2410067,20210125,87000,89900,86300,,,,,,,
109,005930,86800,30861661,2717635,20210122,89000,89700,86800,,,,,,,
110,005930,88100,25318011,2211210,20210121,87500,88600,86500,,,,,,,
111,005930,87200,25211127,2205739,20210120,89000,89000,86500,,,,,,,
112,005930,87000,39895044,3441343,20210119,84500,88000,83600,,,,,,,
113,005930,85000,43227951,3715776,20210118,86600,87300,84100,,,,,,,
114,005930,88000,33431809,2975232,20210115,89800,91800,88000,,,,,,,
115,005930,89700,26393970,2356662,20210114,88700,90000,88700,,,,,,,
116,005930,89700,36068848,3244067,20210113,89800,91200,89100,,,,,,,
117,005930,90600,48682416,4362546,20210112,90300,91400,87800,,,,,,,
118,005930,91000,90306177,8379238,20210111,90000,96800,89500,,,,,,,
119,005930,88800,59013307,5083940,20210108,83300,90000,83000,,,,,,,
120,005930,82900,32644642,2726112,20210107,82800,84200,82700,,,,,,,
121,005930,82200,42089013,3506904,20210106,83300,84500,82100,,,,,,,
122,005930,83900,35335669,2915618,20210105,81600,83900,81600,,,,,,,
123,005930,83000,38655276,3185357,20210104,81000,84400,80200,,,,,,,
124,005930,81000,29417421,2344317,20201230,77400,81300,77300,,,,,,,
125,005930,78300,30339449,2368814,20201229,78800,78900,77300,4,0.00,,,,,
126,005930,78700,40085044,3172811,20201228,79000,80100,78200,,,,,,,
127,005930,77800,32502870,2486987,20201224,74100,78800,74000,,,,,,,
128,005930,73900,19411326,1419205,20201223,72400,74000,72300,,,,,,,
129,005930,72300,16304910,1183243,20201222,72500,73200,72100,,,,,,,
130,005930,73000,20367355,1477331,20201221,73100,73400,72000,,,,,,,
131,005930,73000,17613029,1289759,20201218,73300,73700,73000,,,,,,,
132,005930,73300,24293214,1777213,20201217,73400,73700,72600,,,,,,,
133,005930,73800,17512081,1291859,20201216,74100,74500,73400,,,,,,,
134,005930,73800,20863671,1538015,20201215,73800,74100,73300,,,,,,,
135,005930,73800,21510415,1590300,20201214,73600,74500,73200,,,,,,,
136,005930,73400,18486672,1356959,20201211,73500,73800,73100,,,,,,,
137,005930,72900,39882928,2916537,20201210,72700,73800,72500,,,,,,,
138,005930,73900,24077996,1758753,20201209,72100,73900,72000,,,,,,,
139,005930,71700,25000338,1804281,20201208,72200,72900,71600,,,,,,,
140,005930,72900,28490496,2071957,20201207,72400,73500,71900,,,,,,,
141,005930,71500,28130533,2010489,20201204,70400,72100,70100,,,,,,,
142,005930,69700,23677989,1654493,20201203,70100,70500,69300,,,,,,,
143,005930,69500,29703942,2060701,20201202,68400,69900,68300,,,,,,,
144,005930,67800,22327173,1513603,20201201,67100,68300,67100,,,,,,,
145,005930,66700,43811016,2946476,20201130,68400,68600,66700,,,,,,,
146,005930,68200,14063434,957451,20201127,68000,68400,67600,,,,,,,
147,005930,68000,19023323,1279790,20201126,66100,68000,66000,,,,,,,
148,005930,66600,32447065,2185553,20201125,67900,68300,66500,,,,,,,
149,005930,67700,32158235,2194517,20201124,67900,69500,67000,,,,,,,
150,005930,67500,27134398,1811363,20201123,64800,67800,64700,,,,,,,
151,005930,64700,15068682,973133,20201120,63900,65200,63900,,,,,,,
152,005930,64600,16590290,1066785,20201119,64100,64800,63900,,,,,,,
153,005930,64800,22963790,1495191,20201118,65700,66200,64700,,,,,,,
154,005930,65700,30204089,1999330,20201117,67000,67000,65600,,,,,,,
155,005930,66300,36354334,2384456,20201116,64000,66700,63900,,,,,,,
156,005930,63200,31508829,1962140,20201113,61300,63200,61000,,,,,,,
157,005930,61000,19800573,1208397,20201112,61000,61400,60700,,,,,,,
158,005930,61300,25628510,1562196,20201111,60700,61400,60400,,,,,,,
159,005930,60200,19073552,1144231,20201110,60500,60500,59500,,,,,,,
160,005930,60200,15892961,962262,20201109,60700,60900,60100,,,,,,,
161,005930,60100,16910230,1015446,20201106,60700,60800,59600,,,,,,,
162,005930,60300,20639475,1232654,20201105,59000,60300,58800,,,,,,,
163,005930,58500,21718561,1269055,20201104,58900,59000,57800,,,,,,,
164,005930,58800,14950919,873636,20201103,57900,58900,57600,,,,,,,
165,005930,57400,20489076,1165273,20201102,56400,57500,56000,,,,,,,
166,005930,56600,26907844,1541223,20201030,58000,58000,56600,,,,,,,
167,005930,58100,22636966,1313484,20201029,58200,58500,57500,,,,,,,
168,005930,59000,14428882,851619,20201028,59400,59400,58800,,,,,,,
169,005930,59800,17260416,1032623,20201027,60300,60300,59500,,,,,,,
170,005930,60400,13268226,803140,20201026,60400,61100,60100,,,,,,,
171,005930,60200,9322232,560420,20201023,60400,60400,59800,,,,,,,
172,005930,60100,14294095,858048,20201022,60300,60500,59800,,,,,,,
173,005930,60900,15703443,959155,20201021,61200,61500,60600,,,,,,,
174,005930,60900,19326115,1172317,20201020,60300,60900,60100,,,,,,,
175,005930,60000,14474985,867446,20201019,59600,60200,59500,,,,,,,
176,005930,59500,16554190,987631,20201016,60000,60400,59000,,,,,,,
177,005930,60000,17756232,1066157,20201015,60700,60800,59700,,,,,,,
178,005930,60900,16086716,978464,20201014,61000,61100,60500,,,,,,,
179,005930,60900,19247631,1171363,20201013,61000,61400,60400,,,,,,,
180,005930,60400,16145837,972249,20201012,60000,60400,59900,,,,,,,
181,005930,59700,24589924,1473634,20201008,60500,60700,59500,,,,,,,
182,005930,59900,14861838,881415,20201007,58700,59900,58500,,,,,,,
183,005930,59000,14463826,856996,20201006,59400,59900,58700,,,,,,,
184,005930,58700,20228289,1183457,20201005,57500,59200,57500,,,,,,,
185,005930,58200,15503563,906227,20200929,58300,59000,58200,,,,,,,
186,005930,58200,12614080,736197,20200928,58300,58800,57900,4,0.00,,,,,
187,005930,57900,11444683,662845,20200925,57700,58200,57700,,,,,,,
188,005930,57800,17564020,1017854,20200924,57700,58600,57600,,,,,,,
189,005930,58600,20111398,1168864,20200923,58400,58800,57400,,,,,,,
190,005930,58200,20830381,1220860,20200922,59100,59700,57800,,,,,,,
191,005930,59200,15140387,901308,20200921,59100,60000,59000,,,,,,,
192,005930,59300,18884571,1121250,20200918,59800,59900,59100,,,,,,,
193,005930,59500,25108356,1501982,20200917,60700,60800,59300,,,,,,,
194,005930,61000,17041444,1038410,20200916,61100,61300,60600,,,,,,,
195,005930,61000,17877075,1086698,20200915,60900,61000,60500,,,,,,,
